----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656490648.0797081	1.91300	1.570296	3113.730000000	-11.06	3055.856456221	65.198200000	4.05	65.035386821
1656490649.1827669	1.90600	1.576048	3115.865000000	-11.07	3057.889139834	65.150600000	4.12	64.982562151
1656490650.2828410	1.90600	1.581800	3118.305000000	-11.07	3060.283739568	65.255400000	4.17	65.082648593
1656490651.8929060	1.90500	1.590428	3121.355000000	-11.08	3063.214211215	65.365200000	4.10	65.197589838
1656490652.9986031	1.91100	1.594742	3123.495000000	-11.08	3065.314349908	65.470000000	4.16	65.297676130
1656490654.6944389	1.91100	1.604808	3127.460000000	-11.08	3069.205494731	65.517800000	4.15	65.345847429
1656490655.7941570	1.90500	1.609122	3129.290000000	-11.08	3070.938436435	65.598800000	4.15	65.426634843
1656490657.6934600	1.90500	1.619188	3132.650000000	-11.08	3074.235782844	65.684600000	4.23	65.505674695
1656490659.2882080	1.90700	1.626378	3136.310000000	-11.09	3077.764388875	65.780000000	4.18	65.605358552
1656490660.3912730	1.91100	1.632130	3138.445000000	-11.09	3079.859534754	65.799000000	4.22	65.620270952
1656490661.4983230	1.91300	1.637882	3140.585000000	-11.09	3081.959587297	65.822800000	4.27	65.640434722
1656490662.8387461	1.90800	1.645072	3142.720000000	-11.09	3083.991423989	65.865800000	4.30	65.680741182
1656490664.3982351	1.90500	1.652262	3145.770000000	-11.09	3086.984428088	66.032800000	4.23	65.852926196
1656490665.5026460	1.91100	1.658014	3147.600000000	-11.09	3088.780230548	66.061400000	4.32	65.873712974
