------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1653748742.1874239	301.41000	94242.700000000	-0.43	94240.095108390	7010.700000000	-1.14	7009.312345022
1653748743.3786089	301.32000	94242.700000000	-0.43	94240.021214770	7009.925000000	-1.14	7008.537498421
1653748745.0810280	301.11000	94242.700000000	-0.43	94240.095108390	7009.925000000	-1.14	7008.537498421
1653748746.7821920	301.04000	94242.700000000	-0.43	94240.021214770	7009.175000000	-1.14	7007.787646871
1653748747.9873259	301.08000	94242.700000000	-0.43	94240.095108390	7008.400000000	-1.14	7007.012800270
1653748749.1801679	301.15000	94242.700000000	-0.43	94240.095108390	7007.650000000	-1.13	7006.277510362
1653748750.3809650	301.06000	94242.700000000	-0.43	94240.021214770	7007.650000000	-1.14	7006.262948720
1653748752.0804379	301.04000	94242.700000000	-0.43	94240.095108390	7006.875000000	-1.14	7005.488102119
1653748753.3807781	301.03000	94242.700000000	-0.43	94240.095108390	7006.125000000	-1.14	7004.738250569
1653748755.0812299	301.05000	94233.200000000	-0.43	94230.595370972	7005.350000000	-1.14	7003.963403968
1653748757.2810180	301.06000	94223.600000000	-0.43	94220.995636319	7004.600000000	-1.14	7003.213552418
