-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653951874.9756703	88.0	2.355572e-09	1173.1	2.4	1172.0709919889707
1653951877.0731113	89.0	2.611189e-09	1169.745	2.406	1168.7137989104092
1653951879.1715508	90.0	1.182557e-09	1166.385	2.406	1165.3567609539837
1653951881.2809608	91.0	2.538178e-09	1162.725	2.406	1161.6999874657345
1653951883.382391	92.0	3.669257e-10	1159.37	2.406	1158.347945101506
1653951885.5310621	93.0	6.844273e-10	1156.01	2.406	1154.9909071450804
1653951887.6324935	94.0	2.698494e-09	1152.655	2.412	1151.6337912049712
1653951889.7315845	95.0	7.020616e-10	1149.295	2.412	1148.2767680380664
1653951891.8609443	96.0	1.948581e-09	1145.94	2.406	1144.929784460198
1653951893.9583821	97.0	2.890206e-09	1142.585	2.418	1141.5676710745536
1653951896.0551977	98.0	2.443415e-09	1138.9199999999998	2.406	1137.9159730155232
1653951898.1975055	99.0	2.915628e-09	1135.565	2.412	1134.558932299494
1653951900.296324	100.0	2.119246e-10	1132.205	2.412	1131.201909132589
1653951902.3961024	101.0	2.575919e-09	1128.85	2.412	1127.849881535873
1653951904.4942663	102.0	2.030943e-09	1125.1899999999998	2.412	1124.1931241576372
1653951906.7934237	103.0	2.465342e-10	1121.8300000000002	2.418	1120.8311508041559
1653951908.8908575	104.0	3.110561e-10	1118.17	2.418	1117.1744095760346
1653951910.9903018	105.0	8.066314e-10	1115.115	2.418	1114.122129671141
1653951913.0887449	106.0	2.811595e-09	1111.76	2.412	1110.7750226303956
1653951915.1868916	107.0	3.960147e-10	1108.1000000000001	2.424	1107.108473908134
1653951917.2989364	108.0	4.817553e-10	1104.74	2.418	1103.756367310005
1653951919.4057117	109.0	2.891936e-09	1101.385	2.418	1100.4043545175607
1653951921.686309	110.0	1.335868e-09	1097.72	2.418	1096.7426177413136
1653951923.7907336	111.0	2.060731e-09	1094.365	2.424	1093.3857639639698
1653951925.8881822	112.0	5.112141e-10	1091.01	2.424	1090.0337660125558
1653951927.9866235	113.0	9.287948e-10	1087.345	2.424	1086.3720454486418
1653951930.083601	114.0	1.478097e-09	1083.6850000000002	2.424	1082.7153204107358
1653951932.1820407	115.0	2.980519e-09	1080.325	2.424	1079.3583269333137
1653951934.308338	116.0	2.12649e-09	1076.97	2.418	1076.0110930190417
1653951936.4063497	117.0	2.926876e-09	1073.615	2.43	1072.649570071403
1653951938.5114148	118.0	2.036711e-09	1070.2549999999999	2.424	1069.2973375530635
1653951940.60686	119.0	3.511454e-10	1066.595	2.424	1065.6406125151575
1653951942.8439429	120.0	5.424039e-10	1063.235	2.436	1062.274177530857
1653951944.940608	121.0	2.190113e-10	1059.8799999999999	2.43	1058.9269210352675
1653951947.038406	122.0	1.635571e-09	1056.5249999999999	2.43	1055.5749379616427
1653951949.1378446	123.0	9.409906e-10	1053.47	2.43	1052.5226851181485
1653951951.236927	124.0	3.496624e-10	1050.115	2.43	1049.1707020445238
1653951953.3364208	125.0	1.826952e-09	1046.76	2.436	1045.8140656319629
1653951955.4337707	126.0	1.202414e-09	1043.4	2.436	1042.457101991278
1653951957.7549632	127.0	4.006697e-10	1039.74	2.436	1038.8004094541031
1653951959.8544104	128.0	2.390263e-09	1036.3799999999999	2.43	1035.4480530083881
1653951961.952494	129.0	2.301311e-09	1033.025	2.442	1032.0868740557698
1653951964.048942	130.0	2.931944e-09	1029.67	2.442	1028.7349208479993
1653951966.146383	131.0	1.886654e-09	1026.615	2.436	1025.6872702326775
1653951968.2461712	132.0	1.682169e-09	1023.26	2.448	1022.3261706993292
1653951970.345257	133.0	2.439954e-09	1019.9	2.442	1018.973793324924
1653951972.4429116	134.0	1.354656e-09	1016.545	2.442	1015.6218401171535
1653951974.5403533	135.0	7.082011e-10	1013.19	2.442	1012.2698869093831
