-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653838137.6897242	66.0	-6.829256e-10	953.9074999999999	2.46	953.0284076507503
1653838139.8406217	65.0	-7.452666e-10	956.7299999999999	2.442	955.8611601997789
1653838141.9619794	64.0	1.351974e-09	959.7075	2.46	958.8230625458784
1653838144.0600636	63.0	-1.570284e-09	962.5300000000001	2.442	961.6558930179814
1653838146.1585035	62.0	8.24798e-10	965.1999999999999	2.448	964.3191563815574
1653838148.2534397	61.0	9.56941e-11	968.3275	2.46	967.4351186141549
1653838150.3657007	60.0	3.143099e-10	971.2275	2.436	970.3498227182613
1653838152.465626	59.0	-1.176749e-09	974.125	2.454	973.2316489465202
1653838154.5630345	58.0	4.180969e-10	977.4075	2.454	976.5111386297405
1653838156.6606123	57.0	-1.161133e-09	980.3824999999999	2.436	979.4965495428062
1653838158.7604253	56.0	-1.392697e-09	983.28	2.448	982.3826565342497
1653838161.012455	55.0	-3.244963e-10	982.2125	2.538	981.2490206362318
1653838163.1112092	54.0	1.047946e-09	989.5374999999999	2.454	988.6300144431332
1653838165.2092588	53.0	6.414925e-10	992.7425	2.436	991.845380078183
1653838167.3096583	52.0	1.119184e-09	995.64	2.442	994.7358246749949
1653838169.4084487	51.0	-1.471313e-09	998.9975	2.448	998.0858127095782
1653838171.5080826	50.0	-1.888134e-10	1002.355	2.43	1001.4536494077684
1653838173.6071315	49.0	-1.477906e-09	1005.255	2.436	1004.3465728026089
1653838175.7115195	48.0	-1.389158e-10	1008.61	2.448	1007.6895403211797
1653838177.8119543	47.0	-1.316636e-09	1011.8149999999999	2.424	1010.9096295707594
1653838179.9093788	46.0	8.243036e-10	1015.02	2.436	1014.1027483833495
1653838182.1048818	45.0	-1.374771e-09	1018.0699999999999	2.436	1017.1499921643284
1653838184.203279	44.0	-1.167067e-09	1021.4275	2.442	1020.4999061490281
1653838186.3016865	43.0	-4.549059e-10	1024.3275	2.424	1023.4109334059509
1653838188.4000995	42.0	-1.737571e-09	1026.9225	2.424	1026.0036114041382
1653838190.4958742	41.0	-2.766183e-10	1029.82	2.442	1028.8847846277804
1653838192.5952575	40.0	-5.734891e-10	1033.025	2.43	1032.0960699347636
1653838194.6958294	39.0	-1.473628e-10	1035.6200000000001	2.418	1034.6979100182737
1653838196.8466203	38.0	4.729779e-10	1038.5175000000002	2.436	1037.5790142009077
1653838198.9826696	37.0	7.6453e-11	1041.4175	2.43	1040.4810231226609
1653838201.0815196	36.0	6.163181e-10	1044.6225000000002	2.436	1043.6784972444736
1653838203.179581	35.0	2.221419e-10	1047.52	2.418	1046.5873145577932
1653838205.2783418	34.0	-1.48318e-09	1050.2675	2.424	1049.32772233581
1653838207.3842301	33.0	-1.684582e-09	1053.625	2.43	1052.6775457370493
1653838209.4817667	32.0	-1.341067e-09	1056.5225	2.412	1055.5864609691141
1653838211.5801594	31.0	8.050192e-13	1059.27	2.424	1058.3221669133372
1653838213.6931782	30.0	3.300083e-10	1062.78	2.424	1061.8290261710013
1653838215.7911012	29.0	-1.914507e-10	1065.6775	2.412	1064.733349984892
1653838218.118657	28.0	-3.008457e-10	1069.035	2.43	1068.0736885580795
1653838220.2160652	27.0	-1.041314e-09	1072.24	2.418	1071.2853044919889
1653838222.3144941	26.0	-1.249475e-09	1075.2925	2.412	1074.3398314580438
1653838224.4146433	25.0	8.488607e-10	1078.4950000000001	2.424	1077.5299644143606
1653838226.514051	24.0	-1.11923e-09	1082.1575	2.418	1081.1939741996098
1653838228.6141014	23.0	-1.011152e-09	1085.0575	2.406	1084.100956072675
1653838230.7208312	22.0	3.925519e-10	1088.415	2.424	1087.4410880143682
1653838232.9399486	21.0	9.093846e-10	1091.9225000000001	2.406	1090.9599041592412
1653838235.0383434	20.0	1.614931e-10	1095.1275	2.412	1094.157258397198
1653838237.137392	19.0	-1.36711e-09	1098.9424999999999	2.418	1097.9640292580834
1653838239.2763577	18.0	1.811463e-10	1102.3	2.424	1101.3136637387745
