----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701278674.6193371	4.98200	1.374728	1013.645000000	8.41	1002.755441931	17.233000000	-86.77	0.972182148	0.018397990
1701278676.3965969	4.98800	1.383356	1013.645000000	8.41	1002.755441931	17.218700000	-86.99	0.902957792	0.022642100
1701278677.6103690	4.98600	1.389108	1013.952500000	8.41	1003.059638467	17.237700000	-87.04	0.889532695	0.018604010
1701278679.4002349	4.98600	1.399174	1013.952500000	8.41	1003.059638467	17.242500000	-87.24	0.830268787	0.024537550
1701278680.6179881	4.99500	1.404926	1013.952500000	8.41	1003.059638467	17.237700000	-87.51	0.748892219	0.019386890
1701278682.3972421	4.98300	1.413554	1014.105000000	8.41	1003.210500165	17.247300000	-87.75	0.677125820	0.023012940
1701278683.6070170	4.99100	1.419306	1014.105000000	8.41	1003.210500165	17.247300000	-87.84	0.650053888	0.027009830
1701278685.8300869	4.99200	1.430810	1014.257500000	8.41	1003.361361862	17.242500000	-88.12	0.566865774	0.020169810
1701278687.0302479	4.98700	1.436562	1014.257500000	8.41	1003.361361862	17.261600000	-88.30	0.513291394	0.015225150
1701278688.7453170	4.98300	1.445190	1014.410000000	8.40	1003.527747281	17.285400000	-88.57	0.430764640	0.014689520
1701278689.9979761	4.99400	1.450942	1014.410000000	8.40	1003.527747281	17.285400000	-88.84	0.349329927	0.017656290
1701278691.7313550	4.99000	1.461008	1014.562500000	8.40	1003.678611312	17.290200000	-89.05	0.286065778	0.025526480
1701278692.9384911	4.99300	1.466760	1014.715000000	8.40	1003.829475343	17.290200000	-89.30	0.210027394	0.019304510
1701278694.6485751	4.98300	1.475388	1014.715000000	8.40	1003.829475343	17.290200000	-89.44	0.170196049	0.014813130
1701278695.8982439	4.99100	1.481140	1014.867500000	8.40	1003.980339373	17.323600000	-89.62	0.116103012	0.014607090
1701278697.6329350	4.97700	1.489768	1014.867500000	8.40	1003.980339373	17.328300000	-89.89	0.032663057	0.023218980
1701278698.8463840	4.99500	1.495520	1015.020000000	8.40	1004.131203404	17.337900000	-90.10	-0.029049917	0.020375800
1701278700.5468481	4.98800	1.504148	1015.020000000	8.40	1004.131203404	17.337900000	-90.35	-0.107120936	0.020458230
1701278701.8044960	4.98900	1.511338	1015.172500000	8.40	1004.282067435	17.337900000	-90.37	-0.112567689	0.019016070
